Material/Service No.,PO Item Description,Manufacturer Name,Manufacturer Part No.,Increase percentage,From Pricebook,Input Value
36024560,"MODULE:PLC,DISCRETE OUTPUT,8 CHANNEL,24V",SOLAR TURBINES,1089240-4,1.0,YES,0
36024398,"SPACER,SHIM:0.01IN THK",SOLAR TURBINES,142156-224,31.0,YES,0
36024151,CLAMP:,SOLAR TURBINES,47459-1,37.0,YES,0
36500878596,"LAMP:LED,28VDCV,RED",SOLAR TURBINES,1010205,2.0,YES,0
11161131,"BLOCK:INSERT,SIZE 30/0,RBR",SOLAR TURBINES,190261-62,1.0,YES,0
36024517,"SHIM:COLD FOOT,0.01IN THK",SOLAR TURBINES,142156-151,10.0,YES,0
36024156,CLAMP:4 SEGMENT V BAND,SOLAR TURBINES,903476C2,198.0,YES,0
11027728,"FUSE:TD,20A,CLASS CC,600ACV",SOLAR TURBINES,1043265-7,2.0,YES,0
36024388,"SHIM:TABULATED,1/4IN THK",SOLAR TURBINES,142157-61,40.0,YES,0
11568913,"TIMER:REPLACEMENT,CONTROL UNIT",SOLAR TURBINES,997917C1,2.0,YES,0
36024516,"SHIM:COLD FOOT,0.005IN THK",SOLAR TURBINES,142156-150,10.0,YES,0
36024397,"SPACER,SHIM:0.005IN THK",SOLAR TURBINES,142156-223,22.0,YES,0
11042273,"PAPER,PRINT/COPY",SOLAR TURBINES,997346C1,50.0,YES,0
11025743,"FUSE:CLASSCC,5A,600V",SOLAR TURBINES,1043265-4,2.0,YES,0
11042208,"FUSE:CLASSCC,2A,600V",SOLAR TURBINES,1043265-3,2.0,YES,0
11042237,SPRING,SOLAR TURBINES,999007C1,2.0,YES,0
11045407,"CLAMP:HOSE/TUBING,3-3/8 ID X 3/4IN WD",SOLAR TURBINES,903477C1,10.0,YES,0
11046256,"CLAMP,FLANGE:SPLT,2IN DIA,3000 LB,MATERI",SOLAR TURBINES,903160C1,0.0,YES,0
11173089,"LOCK,PAD:ENCL DOOR,KEY",SOLAR TURBINES,1055079-100,17.0,YES,0
11025744,"FUSE:CLASSCC,30A,600V",SOLAR TURBINES,1043265-9,2.0,YES,0
11568919,"ELMNT,HEATER",SOLAR TURBINES,999271C1,6.0,YES,0
11025456,"GSKT:HSG,RND",SOLAR TURBINES,945718C1,1.0,YES,0
36500787571,"O-RING:2.319IN,0.118IN THK,3-932,FKM,SAE",SOLAR TURBINES,903752C1,38.0,YES,0
D (78),"OFFSHORE INSTRUMENTATION CABLE 1X3X1,5 S",Not Assigned,#,9.0,NO,0
D (23),300538-1 SAFETY BLANKET ( COLLECTOR SEC),Not Assigned,#,9.0,NO,0
D (111),"PIN,DIAMOND,0.75 IN DIA X",Not Assigned,#,71.0,NO,0
