,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,Region,PO No.,PO Item No.,Incoterms,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor,Vendor Name,Manufacturer Part No.,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Unit Price,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,PO Closed Status Name,PO Item Deletion Flag,Item Type Name,PO Type Name,Remaining PO Quantity,Long Description,Unit Price,Converted Price,UoM_label,Label
12,1620,875350,878502,878502,343846,AGT,4301234571,23,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-01,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,2.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
13,1623,875353,878505,878505,343849,AGT,4301234571,26,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-01,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,2.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
14,1632,875362,878514,878514,343859,AGT,4301234571,6,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-01,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,2.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
15,1634,875364,878516,878516,343861,AGT,4301234571,8,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-01,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,2.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
16,1640,875447,878599,878599,343970,AGT,4301234606,5,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-01,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,2.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
17,1642,875693,878845,878845,344238,AGT,4301234667,2,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-01,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
18,1654,875905,879062,879062,344483,AGT,4301235226,9,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-11-01,47.0,EA,"USD 23,36",1097.92,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
19,1708,878067,881235,881235,347117,AGT,4301239312,2,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-03-02,1.0,EA,"USD 22,76",22.76,USD,31181500,Gaskets,Ordered,Open,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",22.76,22.76,0,0.0
20,1765,882841,886094,886094,352571,AGT,4301249049,3,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2021-07-04,2.0,EA,"USD 22,76",45.52,USD,31181500,Gaskets,Ordered,Open,#,Material,Gated,2.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",22.76,22.76,0,0.0
0,1042,811820,813799,813799,267014,AGT,4301063416,15,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACH:HEX,3/8IN,16 UN,1-1/4IN,STL,B7",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2019-11-04,242.0,EA,"USD 22,01",5326.42,USD,31161600,Bolts,Ordered,Open,#,Material,Fastrack,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",22.01,22.01,0,2.0
1,1374,858303,860865,860865,322781,AGT,4301187432,2,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-04-23,4.0,EA,"USD 19,32",77.28,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.32,19.32,0,0.0
2,1376,858305,860867,860867,322783,AGT,4301187432,4,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-04-23,72.0,EA,"USD 19,32",1391.04,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.32,19.32,0,0.0
3,1377,858306,860868,860868,322785,AGT,4301187432,6,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-04-23,28.0,EA,"USD 19,32",540.96,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.32,19.32,0,0.0
4,1379,858308,860870,860870,322787,AGT,4301187432,8,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-04-23,36.0,EA,"USD 19,32",695.52,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.32,19.32,0,0.0
5,1562,870803,873789,873789,338226,AGT,4301224065,4,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-10-29,11.0,EA,"USD 19,31",212.41,USD,31161600,Bolts,Ordered,Open,#,Material,Fastrack,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.31,19.31,0,0.0
6,1595,874750,877882,877882,343167,AGT,4301233125,8,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-12-24,18.0,EA,"USD 19,31",347.58,USD,31161600,Bolts,Ordered,Open,#,Material,Fastrack,18.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.31,19.31,0,0.0
7,1607,875187,878339,878339,343650,AGT,4301233447,6,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2020-12-28,15.0,EA,"USD 19,31",289.65,USD,31161600,Bolts,Ordered,Open,#,Material,Fastrack,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.31,19.31,0,0.0
8,1649,875900,879057,879057,344477,AGT,4301235226,3,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-11-01,15.0,EA,"USD 19,31",289.65,USD,31161600,Bolts,Ordered,Open,#,Material,Fastrack,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",19.31,19.31,0,0.0
9,1692,877712,880880,880880,346731,AGT,4301238907,3,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-01-02,14.0,EA,"USD 18,84",263.76,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.84,18.84,0,0.0
10,1720,878627,881795,881795,347769,AGT,4301240618,4,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-10-02,13.0,EA,"USD 18,84",244.92,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.84,18.84,0,0.0
11,1726,879741,882931,882931,349051,AGT,4301242281,4,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-02-22,14.0,EA,"USD 15,30",214.2,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,0.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",15.3,15.3,0,1.0
12,1847,887308,890596,890596,357541,AGT,4301256310,9,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-05-26,3.0,EA,"USD 18,84",56.52,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,3.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.84,18.84,0,0.0
13,1862,888363,891670,891670,358735,AGT,4301258437,2,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-09-06,2.0,EA,"USD 18,36",36.72,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,2.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.36,18.36,0,0.0
14,1865,888407,891714,891714,358786,AGT,4301258488,1,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-09-06,2.0,EA,"USD 18,36",36.72,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,2.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.36,18.36,0,0.0
15,1866,888408,891715,891715,358787,AGT,4301258488,2,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-09-06,2.0,EA,"USD 18,36",36.72,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,2.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.36,18.36,0,0.0
16,1868,888410,891717,891717,358789,AGT,4301258488,4,FCA,Free Carrier,11042187 (120022-7),"BOLT,MACHINE:HEX HD,3/8IN DIA,16 UNC,1-1",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,120022-7,2021-09-06,3.0,EA,"USD 18,36",55.08,USD,31161600,Bolts,Ordered,Open,#,Material,Gated,3.0,"BOLT,MACHINE: HEXAGONAL HD,3/8IN DIA,16 UNC,1-1/4IN LG,ALLOY STEEL,GR B7",18.36,18.36,0,0.0
0,842,777440,779099,779099,226140,AGT,4300963917,2,EXW,From plant,11025779 (908601C1),"ORIFICE:GAS TURBINE,2IN LG",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2018-07-19,3.0,EA,"USD 734,58",2203.74,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",734.58,734.58,0,1.0
1,1033,809903,811878,811878,264677,AGT,4301060655,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2019-04-04,12.0,EA,"USD 732,58",8790.96,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Gated,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",732.58,732.58,0,1.0
2,1094,813430,815422,815422,269018,AGT,4301067939,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2019-04-24,53.0,EA,"USD 754,99",40014.47,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Gated,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",754.99,754.99,0,2.0
3,1306,850916,853449,853449,313906,AGT,4301165946,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-10-02,1.0,EA,"USD 732,58",732.58,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",732.58,732.58,0,1.0
4,1332,854215,856754,856754,317770,AGT,4301174177,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-05-03,1.0,EA,"USD 732,58",732.58,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",732.58,732.58,0,1.0
5,1345,855094,857654,857654,318931,AGT,4301177381,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-03-16,1.0,EA,"USD 732,58",732.58,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",732.58,732.58,0,1.0
6,1346,855095,857655,857655,318932,AGT,4301177381,2,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-03-16,3.0,EA,"USD 732,58",2197.74,USD,41112500,LIQ/gas flow meas in,Transaction Completed,Completed,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",732.58,732.58,0,1.0
7,1428,858529,861095,861095,323048,AGT,4301188031,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-04-24,1.0,EA,"USD 746,38",746.38,USD,41112500,LIQ/gas flow meas in,Ordered,Closed,#,Material,Gated,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
8,1435,859028,861595,861595,323622,AGT,4301189544,1,FCA,Free Carrier,11025779 (908601C1),ORIFICE:0.02IN,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-04-30,1.0,EA,"USD 746,38",746.38,USD,41112500,LIQ/gas flow meas in,Ordered,Closed,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
9,1600,875094,878226,878226,343525,AGT,4301233187,4,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2020-12-24,3.0,EA,"USD 746,38",2239.14,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Fastrack,0.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
10,1610,875340,878492,878492,343832,AGT,4301234571,10,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2021-07-01,1.0,EA,"USD 746,38",746.38,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Fastrack,1.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
11,1613,875343,878495,878495,343837,AGT,4301234571,15,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2021-07-01,1.0,EA,"USD 746,38",746.38,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Fastrack,1.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
12,1617,875347,878499,878499,343841,AGT,4301234571,19,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2021-07-01,1.0,EA,"USD 746,38",746.38,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Fastrack,1.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
13,1625,875355,878507,878507,343851,AGT,4301234571,28,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2021-07-01,1.0,EA,"USD 746,38",746.38,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Fastrack,1.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",746.38,746.38,0,0.0
14,1764,882840,886093,886093,352570,AGT,4301249049,2,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2021-07-04,1.0,EA,"USD 757,58",757.58,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Gated,1.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",757.58,757.58,0,2.0
15,1876,889195,892504,892504,359627,AGT,4301259767,1,FCA,Free Carrier,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,908601C1,2021-06-17,10.0,EA,"USD 737,11",7371.1,USD,41112500,LIQ/gas flow meas in,Ordered,Open,#,Material,Gated,10.0,"PLATE,ORIFICE: 0.02IN,JET LINE MOUNT",737.11,737.11,0,1.0
0,1244,841762,844190,844190,303220,AGT,4301141954,2,FCA,Free Carrier,11045408 (907754C3),BUSHING:RNG,SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,907754C3,2019-11-21,45.0,EA,"USD 101,23",4555.35,USD,31171600,Bushings,Ordered,Open,#,Material,Fastrack,0.0,"BUSHING: TAPERED SHOULDER,RING",101.23,101.23,0,0.0
